epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,2777.86,1.32244,1.2585,1.46026,0.56377,0.50783,0.57027,0.25847,1.87154,1.64392,1.95989,0.004555,0.004555,0.004555
112,2802.2,1.29886,1.22546,1.44469,0.40234,0.48834,0.42468,0.18633,2.13747,2.261,2.25944,0.0045055,0.0045055,0.0045055
113,2827.39,1.32958,1.24169,1.46508,0.43035,0.4649,0.46082,0.19365,2.07961,2.16456,2.25988,0.004456,0.004456,0.004456
114,2851.83,1.34024,1.25667,1.45057,0.37991,0.43361,0.41286,0.18459,2.04777,2.40719,2.23284,0.0044065,0.0044065,0.0044065
115,2876.03,1.33488,1.25697,1.46165,0.66586,0.55135,0.64994,0.30627,1.8692,1.54765,1.91976,0.004357,0.004357,0.004357
116,2900.35,1.31381,1.2058,1.4418,0.66789,0.61827,0.67003,0.32859,1.74281,1.41953,1.86626,0.0043075,0.0043075,0.0043075
117,2924.77,1.31658,1.24339,1.45258,0.60755,0.61464,0.67118,0.33725,1.71063,1.42078,1.84762,0.004258,0.004258,0.004258
118,2951.02,1.32349,1.2142,1.44867,0.60154,0.67008,0.6885,0.34724,1.71995,1.39516,1.84496,0.0042085,0.0042085,0.0042085
119,2975.77,1.31635,1.20679,1.44562,0.59955,0.66723,0.69379,0.34704,1.71923,1.38058,1.85171,0.004159,0.004159,0.004159
120,3000.19,1.3038,1.19694,1.45348,0.51175,0.50532,0.54583,0.24408,1.93856,1.82767,2.1378,0.0041095,0.0041095,0.0041095
121,3024.61,1.29257,1.18814,1.43339,0.35748,0.42639,0.40219,0.18033,2.1973,2.80389,2.31815,0.00406,0.00406,0.00406
122,3049,1.30275,1.21455,1.44448,0.62287,0.65476,0.71165,0.35184,1.69261,1.34875,1.80324,0.0040105,0.0040105,0.0040105
123,3076.94,1.28943,1.18641,1.43532,0.5927,0.65213,0.69489,0.35174,1.6906,1.35299,1.82503,0.003961,0.003961,0.003961
124,3101.42,1.28945,1.20053,1.44036,0.56958,0.69627,0.69579,0.35612,1.69438,1.34628,1.82685,0.0039115,0.0039115,0.0039115
125,3126.15,1.29992,1.20045,1.43769,0.58038,0.63458,0.65487,0.32624,1.73669,1.40887,1.82244,0.003862,0.003862,0.003862
126,3150.31,1.28542,1.17059,1.42552,0.65318,0.67637,0.71946,0.35447,1.71917,1.33541,1.83328,0.0038125,0.0038125,0.0038125
127,3175.78,1.28214,1.17164,1.40734,0.63145,0.53563,0.59507,0.26837,1.92091,1.61449,2.01134,0.003763,0.003763,0.003763
128,3200.25,1.27404,1.15982,1.42297,0.55586,0.65471,0.65683,0.32629,1.76918,1.41166,1.87949,0.0037135,0.0037135,0.0037135
129,3224.72,1.28978,1.17516,1.42813,0.62525,0.63497,0.69536,0.3501,1.70156,1.4185,1.84263,0.003664,0.003664,0.003664
130,3249.1,1.28759,1.18041,1.43413,0.62808,0.63066,0.65873,0.31269,1.82411,nan,1.90266,0.0036145,0.0036145,0.0036145
131,3273.75,1.28572,1.18097,1.42633,0.60919,0.6508,0.68739,0.34055,1.71825,1.3747,1.84546,0.003565,0.003565,0.003565
132,3298.34,1.28098,1.1597,1.4227,0.6082,0.68845,0.70087,0.35681,1.67208,1.34943,1.83464,0.0035155,0.0035155,0.0035155
133,3323.03,1.26303,1.1363,1.41574,0.61972,0.63074,0.67645,0.3299,1.74766,1.37934,1.87112,0.003466,0.003466,0.003466
134,3347.4,1.25124,1.15092,1.41434,0.61121,0.66245,0.70076,0.34998,1.67509,1.36274,1.8025,0.0034165,0.0034165,0.0034165
135,3371.79,1.25631,1.14485,1.40354,0.54265,0.571,0.60714,0.29893,1.76368,1.55876,1.88676,0.003367,0.003367,0.003367
136,3396.06,1.26663,1.14381,1.41325,0.56716,0.67136,0.6743,0.33312,1.75027,1.38099,1.85768,0.0033175,0.0033175,0.0033175
137,3420.15,1.22831,1.11333,1.40091,0.55168,0.64778,0.65978,0.31115,1.80165,1.42153,1.89542,0.003268,0.003268,0.003268
138,3444.39,1.25385,1.12776,1.40576,0.62006,0.66169,0.69095,0.33976,1.7314,1.35511,1.86253,0.0032185,0.0032185,0.0032185
139,3468.86,1.27351,1.13956,1.42214,0.64591,0.63513,0.70271,0.3463,1.73493,1.33497,1.84298,0.003169,0.003169,0.003169
140,3493.13,1.23572,1.11626,1.4004,0.67723,0.67131,0.71014,0.35676,1.68919,1.34946,1.81824,0.0031195,0.0031195,0.0031195
141,3517.24,1.24275,1.10888,1.39872,0.6326,0.64522,0.69036,0.33417,1.78176,1.36543,1.85736,0.00307,0.00307,0.00307
142,3541.53,1.23735,1.09671,1.38134,0.65168,0.654,0.71244,0.34418,1.74457,1.33997,1.84842,0.0030205,0.0030205,0.0030205
143,3566.01,1.23297,1.10481,1.39312,0.60109,0.65179,0.67587,0.34229,1.70314,1.36795,1.84404,0.002971,0.002971,0.002971
144,3591.11,1.22542,1.10018,1.38855,0.63218,0.66064,0.69915,0.34926,1.71928,1.33002,1.85021,0.0029215,0.0029215,0.0029215
145,3617.23,1.24176,1.10029,1.39408,0.61888,0.67604,0.70721,0.35223,1.71414,1.2999,1.82741,0.002872,0.002872,0.002872
146,3641.95,1.22722,1.07748,1.38841,0.63329,0.64304,0.6954,0.34644,1.72064,1.33917,1.82842,0.0028225,0.0028225,0.0028225
147,3666.53,1.23443,1.11125,1.39779,0.62761,0.70967,0.72154,0.35621,1.70709,1.29529,1.81629,0.002773,0.002773,0.002773
148,3690.86,1.2263,1.09425,1.39018,0.6018,0.68613,0.71287,0.35709,1.72314,1.33396,1.84148,0.0027235,0.0027235,0.0027235
149,3715.79,1.22433,1.07049,1.38036,0.65382,0.67098,0.71583,0.35671,1.7096,1.28193,1.85288,0.002674,0.002674,0.002674
150,3739.9,1.23122,1.10594,1.38764,0.60691,0.65396,0.68368,0.33885,1.70884,1.36899,1.8339,0.0026245,0.0026245,0.0026245
151,3764.23,1.21681,1.08707,1.37948,0.64244,0.62074,0.66902,0.32724,1.79067,1.37607,1.91446,0.002575,0.002575,0.002575
